placement_id,date,impressions
1,11/1/2017,33427
1,11/2/2017,30311
1,11/3/2017,38048
1,11/4/2017,32167
1,11/5/2017,38673
1,11/6/2017,34793
1,11/7/2017,39949
1,11/8/2017,37360
1,11/9/2017,39987
1,11/10/2017,37955
1,11/11/2017,31069
1,11/12/2017,37480
1,11/13/2017,38894
1,11/14/2017,36981
1,11/15/2017,31890
1,11/16/2017,39931
1,11/17/2017,34084
1,11/18/2017,39532
1,11/19/2017,37740
1,11/20/2017,38806
1,11/21/2017,35822
1,11/22/2017,36812
1,11/23/2017,31383
1,11/24/2017,39954
1,11/25/2017,39769
1,11/26/2017,39068
1,11/27/2017,36734
1,11/28/2017,30356
1,11/29/2017,33657
1,11/30/2017,30944
2,12/1/2017,54957
2,12/2/2017,54470
2,12/3/2017,52565
2,12/4/2017,58863
2,12/5/2017,57099
2,12/6/2017,42505
2,12/7/2017,53434
2,12/8/2017,53613
2,12/9/2017,45039
2,12/10/2017,55141
2,12/11/2017,57859
2,12/12/2017,47197
2,12/13/2017,41949
2,12/14/2017,41445
2,12/15/2017,40756
2,12/16/2017,51087
2,12/17/2017,49960
2,12/18/2017,56026
2,12/19/2017,46630
2,12/20/2017,53828
2,12/21/2017,57718
2,12/22/2017,42603
2,12/23/2017,46873
2,12/24/2017,50273
2,12/25/2017,56286
2,12/26/2017,55753
2,12/27/2017,59560
2,12/28/2017,52174
2,12/29/2017,55779
2,12/30/2017,57135
2,12/31/2017,59381
3,11/1/2017,35905
3,11/2/2017,30860
3,11/3/2017,35514
3,11/4/2017,30110
3,11/5/2017,33436
3,11/6/2017,32828
3,11/7/2017,35166
3,11/8/2017,31012
3,11/9/2017,30371
3,11/10/2017,30970
3,11/11/2017,30690
3,11/12/2017,39751
3,11/13/2017,37785
3,11/14/2017,39346
3,11/15/2017,30946
3,11/16/2017,34036
3,11/17/2017,36279
3,11/18/2017,39872
3,11/19/2017,37032
3,11/20/2017,33466
3,11/21/2017,38415
3,11/22/2017,39062
3,11/23/2017,37263
3,11/24/2017,33616
3,11/25/2017,32984
3,11/26/2017,36756
3,11/27/2017,31429
3,11/28/2017,36614
3,11/29/2017,33360
3,11/30/2017,31092
4,12/1/2017,46142
4,12/2/2017,46232
4,12/3/2017,40794
4,12/4/2017,42719
4,12/5/2017,42091
4,12/6/2017,40404
4,12/7/2017,56046
4,12/8/2017,56429
4,12/9/2017,48412
4,12/10/2017,51005
4,12/11/2017,52575
4,12/12/2017,50673
4,12/13/2017,48676
4,12/14/2017,47749
4,12/15/2017,44864
4,12/16/2017,51137
4,12/17/2017,59851
4,12/18/2017,53048
4,12/19/2017,51783
4,12/20/2017,45440
4,12/21/2017,53729
4,12/22/2017,58633
4,12/23/2017,51614
4,12/24/2017,42967
4,12/25/2017,40193
4,12/26/2017,41972
4,12/27/2017,53101
4,12/28/2017,40293
4,12/29/2017,58385
4,12/30/2017,53277
4,12/31/2017,59587
